endpoint,roc_auc,train_size
NR-AR,0.7168368530981667,5806
NR-AR-LBD,0.9052669364312753,5400
NR-AhR,0.8916905605217295,5233
NR-Aromatase,0.8593683892414627,4652
NR-ER,0.6951740506329114,4948
NR-ER-LBD,0.8207196969696969,5558
NR-PPAR-gamma,0.7844745704170625,5154
SR-ARE,0.8419009560312724,4660
SR-ATAD5,0.9161764705882353,5652
SR-HSE,0.8228819952957884,5168
SR-MMP,0.9102732410662632,4643
SR-p53,0.8465581977471841,5413
